"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"      
          0,           0,           0,      -2.300000000,       0.400000000,      -0.500000000,       2.300000000,       1.100000000,       7.400000000
          0,           0,           1,      -2.310993891,       0.389006109,      -0.510993891,       2.289006109,       1.089006109,       7.389006109
          0,           0,           2,      -2.321975574,       0.378024426,      -0.521975574,       2.278024426,       1.078024426,       7.378024426
          0,           0,           3,      -2.332945061,       0.367054939,      -0.532945061,       2.267054939,       1.067054939,       7.367054939
          0,           0,           4,      -2.343902367,       0.356097633,      -0.543902367,       2.256097633,       1.056097633,       7.356097633
          0,           0,           5,      -2.354847505,       0.345152495,      -0.554847505,       2.245152495,       1.045152495,       7.345152495
          0,           0,           6,      -2.365780488,       0.334219512,      -0.565780488,       2.234219512,       1.034219512,       7.334219512
          0,           0,           7,      -2.376701330,       0.323298670,      -0.576701330,       2.223298670,       1.023298670,       7.323298670
          0,           0,           8,      -2.387610045,       0.312389955,      -0.587610045,       2.212389955,       1.012389955,       7.312389955
          0,           0,           9,      -2.398506646,       0.301493354,      -0.598506646,       2.201493354,       1.001493354,       7.301493354
          0,           0,          10,      -2.409391146,       0.290608854,      -0.609391146,       2.190608854,       0.990608854,       7.290608854
          0,           0,          11,      -2.420263559,       0.279736441,      -0.620263559,       2.179736441,       0.979736441,       7.279736441
          0,           0,          12,      -2.431123898,       0.268876102,      -0.631123898,       2.168876102,       0.968876102,       7.268876102
          0,           0,          13,      -2.441972177,       0.258027823,      -0.641972177,       2.158027823,       0.958027823,       7.258027823
          0,           0,          14,      -2.452808409,       0.247191591,      -0.652808409,       2.147191591,       0.947191591,       7.247191591
          0,           0,          15,      -2.463632607,       0.236367393,      -0.663632607,       2.136367393,       0.936367393,       7.236367393
          0,           0,          16,      -2.474444785,       0.225555215,      -0.674444785,       2.125555215,       0.925555215,       7.225555215
          0,           0,          17,      -2.485244957,       0.214755043,      -0.685244957,       2.114755043,       0.914755043,       7.214755043
          0,           0,          18,      -2.496033134,       0.203966866,      -0.696033134,       2.103966866,       0.903966866,       7.203966866
          0,           0,          19,      -2.506809332,       0.193190668,      -0.706809332,       2.093190668,       0.893190668,       7.193190668
          0,           0,          20,      -2.517573562,       0.182426438,      -0.717573562,       2.082426438,       0.882426438,       7.182426438
          0,           0,          21,      -2.528325839,       0.171674161,      -0.728325839,       2.071674161,       0.871674161,       7.171674161
          0,           0,          22,      -2.539066176,       0.160933824,      -0.739066176,       2.060933824,       0.860933824,       7.160933824
          0,           0,          23,      -2.549794586,       0.150205414,      -0.749794586,       2.050205414,       0.850205414,       7.150205414
          0,           0,          24,      -2.560511081,       0.139488919,      -0.760511081,       2.039488919,       0.839488919,       7.139488919
          0,           0,          25,      -2.571215677,       0.128784323,      -0.771215677,       2.028784323,       0.828784323,       7.128784323
          0,           0,          26,      -2.581908384,       0.118091616,      -0.781908384,       2.018091616,       0.818091616,       7.118091616
          0,           0,          27,      -2.592589218,       0.107410782,      -0.792589218,       2.007410782,       0.807410782,       7.107410782
          0,           0,          28,      -2.603258190,       0.096741810,      -0.803258190,       1.996741810,       0.796741810,       7.096741810
          0,           0,          29,      -2.613915315,       0.086084685,      -0.813915315,       1.986084685,       0.786084685,       7.086084685
          0,           0,          30,      -2.624560605,       0.075439395,      -0.824560605,       1.975439395,       0.775439395,       7.075439395
          0,           0,          31,      -2.635194074,       0.064805926,      -0.835194074,       1.964805926,       0.764805926,       7.064805926
          0,           0,          32,      -2.645815734,       0.054184266,      -0.845815734,       1.954184266,       0.754184266,       7.054184266
          0,           0,          33,      -2.656425599,       0.043574401,      -0.856425599,       1.943574401,       0.743574401,       7.043574401
          0,           0,          34,      -2.667023681,       0.032976319,      -0.867023681,       1.932976319,       0.732976319,       7.032976319
          0,           0,          35,      -2.677609995,       0.022390005,      -0.877609995,       1.922390005,       0.722390005,       7.022390005
          0,           0,          36,      -2.688184552,       0.011815448,      -0.888184552,       1.911815448,       0.711815448,       7.011815448
          0,           0,          37,      -2.698747367,       0.001252633,      -0.898747367,       1.901252633,       0.701252633,       7.001252633
          0,           0,          38,      -2.709298451,      -0.009298451,      -0.909298451,       1.890701549,       0.690701549,       6.990701549
          0,           0,          39,      -2.719837819,      -0.019837819,      -0.919837819,       1.880162181,       0.680162181,       6.980162181
          0,           0,          40,      -2.730365483,      -0.030365483,      -0.930365483,       1.869634517,       0.669634517,       6.969634517
          0,           0,          41,      -2.740881456,      -0.040881456,      -0.940881456,       1.859118544,       0.659118544,       6.959118544
          0,           0,          42,      -2.751385751,      -0.051385751,      -0.951385751,       1.848614249,       0.648614249,       6.948614249
          0,           0,          43,      -2.761878381,      -0.061878381,      -0.961878381,       1.838121619,       0.638121619,       6.938121619
          0,           0,          44,      -2.772359359,      -0.072359359,      -0.972359359,       1.827640641,       0.627640641,       6.927640641
          0,           0,          45,      -2.782828697,      -0.082828697,      -0.982828697,       1.817171303,       0.617171303,       6.917171303
          0,           0,          46,      -2.793286410,      -0.093286410,      -0.993286410,       1.806713590,       0.606713590,       6.906713590
          0,           0,          47,      -2.803732510,      -0.103732510,      -1.003732510,       1.796267490,       0.596267490,       6.896267490
          0,           0,          48,      -2.814167009,      -0.114167009,      -1.014167009,       1.785832991,       0.585832991,       6.885832991
          0,           0,          49,      -2.824589921,      -0.124589921,      -1.024589921,       1.775410079,       0.575410079,       6.875410079
          0,           0,          50,      -2.835001258,      -0.135001258,      -1.035001258,       1.764998742,       0.564998742,       6.864998742
          0,           0,          51,      -2.845401033,      -0.145401033,      -1.045401033,       1.754598967,       0.554598967,       6.854598967
          0,           0,          52,      -2.855789260,      -0.155789260,      -1.055789260,       1.744210740,       0.544210740,       6.844210740
          0,           0,          53,      -2.866165950,      -0.166165950,      -1.066165950,       1.733834050,       0.533834050,       6.833834050
          0,           0,          54,      -2.876531118,      -0.176531118,      -1.076531118,       1.723468882,       0.523468882,       6.823468882
          0,           0,          55,      -2.886884774,      -0.186884774,      -1.086884774,       1.713115226,       0.513115226,       6.813115226
          0,           0,          56,      -2.897226933,      -0.197226933,      -1.097226933,       1.702773067,       0.502773067,       6.802773067
          0,           0,          57,      -2.907557608,      -0.207557608,      -1.107557608,       1.692442392,       0.492442392,       6.792442392
          0,           0,          58,      -2.917876810,      -0.217876810,      -1.117876810,       1.682123190,       0.482123190,       6.782123190
          0,           0,          59,      -2.928184552,      -0.228184552,      -1.128184552,       1.671815448,       0.471815448,       6.771815448
          0,           0,          60,      -2.938480848,      -0.238480848,      -1.138480848,       1.661519152,       0.461519152,       6.761519152
          0,           0,          61,      -2.948765710,      -0.248765710,      -1.148765710,       1.651234290,       0.451234290,       6.751234290
          0,           0,          62,      -2.959039151,      -0.259039151,      -1.159039151,       1.640960849,       0.440960849,       6.740960849
          0,           0,          63,      -2.969301183,      -0.269301183,      -1.169301183,       1.630698817,       0.430698817,       6.730698817
          0,           0,          64,      -2.979551819,      -0.279551819,      -1.179551819,       1.620448181,       0.420448181,       6.720448181
          0,           0,          65,      -2.989791072,      -0.289791072,      -1.189791072,       1.610208928,       0.410208928,       6.710208928
          0,           0,          66,      -3.000018954,      -0.300018954,      -1.200018954,       1.599981046,       0.399981046,       6.699981046
          0,           0,          67,      -3.010235479,      -0.310235479,      -1.210235479,       1.589764521,       0.389764521,       6.689764521
          0,           0,          68,      -3.020440657,      -0.320440657,      -1.220440657,       1.579559343,       0.379559343,       6.679559343
          0,           0,          69,      -3.030634503,      -0.330634503,      -1.230634503,       1.569365497,       0.369365497,       6.669365497
          0,           0,          70,      -3.040817029,      -0.340817029,      -1.240817029,       1.559182971,       0.359182971,       6.659182971
          0,           0,          71,      -3.050988248,      -0.350988248,      -1.250988248,       1.549011752,       0.349011752,       6.649011752
          0,           0,          72,      -3.061148171,      -0.361148171,      -1.261148171,       1.538851829,       0.338851829,       6.638851829
          0,           0,          73,      -3.071296811,      -0.371296811,      -1.271296811,       1.528703189,       0.328703189,       6.628703189
          0,           0,          74,      -3.081434182,      -0.381434182,      -1.281434182,       1.518565818,       0.318565818,       6.618565818
          0,           0,          75,      -3.091560295,      -0.391560295,      -1.291560295,       1.508439705,       0.308439705,       6.608439705
          0,           0,          76,      -3.101675163,      -0.401675163,      -1.301675163,       1.498324837,       0.298324837,       6.598324837
